Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Doubles, Women (Olympic)",Dorothy Holman,Silver,Geraldine Beamish,39,GBR,Tennis,1920,Summer,2.0,False
"Singles, Women (Olympic)",,Silver,Dora Boothby,40,GBR,Tennis,1908,Summer,2.0,False
"Singles, Covered Courts, Women (Olympic)",,,Dora Boothby,40,GBR,Tennis,1908,Summer,5.0,True
"Doubles, Women (Olympic)",Gillian Clark,,Julie Bradbury,41,GBR,Badminton,1992,Summer,5.0,True
"Doubles, Mixed (Olympic)",Simon Archer,,Julie Bradbury,41,GBR,Badminton,1996,Summer,17.0,True
"Doubles, Women (Olympic)",Joanne Wright,,Julie Bradbury,41,GBR,Badminton,1996,Summer,9.0,True
"Doubles, Women (Olympic)",Julie Bradbury,,Gillian Clark,42,GBR,Badminton,1992,Summer,5.0,True
"Singles, Covered Courts, Women (Olympic)",,,Mildred Coles,43,GBR,Tennis,1908,Summer,5.0,True
"Doubles, Women (Olympic)",Dorothy Shepherd-Barron,Bronze,Evelyn Colyer,44,GBR,Tennis,1924,Summer,3.0,False
"Singles, Women (Olympic)",,Gold,Charlotte Cooper,45,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Mixed (Olympic)",Reggie Doherty,Gold,Charlotte Cooper,45,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Handicap, Mixed (Olympic (non-medal))","Élie, Comte de Lastours",,Charlotte Cooper,45,GBR,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Women (Olympic (non-medal))",,,Charlotte Cooper,45,GBR,Tennis,1900,Summer,2.0,False
"Singles, Women (Olympic)",,,Charlotte Cooper,45,GBR,Tennis,1908,Summer,,False
"Singles, Women (Olympic)",,,Phyllis Covell,46,GBR,Tennis,1924,Summer,9.0,True
"Doubles, Mixed (Olympic)",Leslie Godfree,,Phyllis Covell,46,GBR,Tennis,1924,Summer,5.0,True
"Doubles, Women (Olympic)",Kitty McKane,Silver,Phyllis Covell,46,GBR,Tennis,1924,Summer,2.0,False
"Singles, Covered Courts, Women (Olympic)",,Gold,Gladys Eastlake-Smith,47,GBR,Tennis,1908,Summer,1.0,False
"Singles, Women (Olympic)",,,Sara Gomer,48,GBR,Tennis,1988,Summer,17.0,True
"Doubles, Women (Olympic)",Clare Wood,,Sara Gomer,48,GBR,Tennis,1988,Summer,9.0,True
"Singles, Women (Olympic)",,,Sara Gomer,48,GBR,Tennis,1992,Summer,33.0,True
"Singles, Women (Olympic)",,,Alison Gordon,49,GBR,Table Tennis,1992,Summer,17.0,True
"Doubles, Women (Olympic)",Sara Sankey,,Gillian Gowers,50,GBR,Badminton,1992,Summer,9.0,True
"Singles, Women (Olympic)",,,Alice Greene,51,GBR,Tennis,1908,Summer,5.0,False
"Singles, Covered Courts, Women (Olympic)",,Silver,Alice Greene,51,GBR,Tennis,1908,Summer,2.0,False
"Doubles, Covered Courts, Mixed (Olympic)",Charles Dixon,Gold,Edith Hannam,52,GBR,Tennis,1912,Summer,1.0,False
"Singles, Covered Courts, Women (Olympic)",,Gold,Edith Hannam,52,GBR,Tennis,1912,Summer,1.0,False
"Singles, Women (Olympic)",,Silver,Dorothy Holman,53,GBR,Tennis,1920,Summer,2.0,False
"Doubles, Mixed (Olympic)",Gordon Lowe,,Dorothy Holman,53,GBR,Tennis,1920,Summer,14.0,True
"Doubles, Women (Olympic)",Geraldine Beamish,Silver,Dorothy Holman,53,GBR,Tennis,1920,Summer,2.0,False
"Doubles, Women (Olympic)",Lisa Lomas,,Andrea Holt,54,GBR,Table Tennis,1992,Summer,9.0,True
"Doubles, Women (Olympic)",Lisa Lomas,,Andrea Holt,54,GBR,Table Tennis,1996,Summer,17.0,True
"Singles, Women (Olympic)",,,Monique Javer,55,GBR,Tennis,1992,Summer,33.0,True
"Doubles, Women (Olympic)",Clare Wood,,Valda Lake,56,GBR,Tennis,1996,Summer,5.0,True
"Singles, Women (Olympic)",,Gold,Dorothy Lambert Chambers,57,GBR,Tennis,1908,Summer,1.0,False
"Singles, Covered Courts, Women (Olympic)",,,Dorothy Lambert Chambers,57,GBR,Tennis,1908,Summer,,False
"Singles, Women (Olympic)",,,Lisa Lomas,58,GBR,Table Tennis,1992,Summer,33.0,True
"Doubles, Women (Olympic)",Andrea Holt,,Lisa Lomas,58,GBR,Table Tennis,1992,Summer,9.0,True
"Singles, Women (Olympic)",,,Lisa Lomas,58,GBR,Table Tennis,1996,Summer,33.0,True
"Doubles, Women (Olympic)",Andrea Holt,,Lisa Lomas,58,GBR,Table Tennis,1996,Summer,17.0,True
"Singles, Women (Olympic)",,Bronze,Kitty McKane,59,GBR,Tennis,1920,Summer,3.0,False
"Doubles, Mixed (Olympic)",Max Woosnam,Silver,Kitty McKane,59,GBR,Tennis,1920,Summer,2.0,False
"Doubles, Women (Olympic)",Winifred McNair,Gold,Kitty McKane,59,GBR,Tennis,1920,Summer,1.0,False
"Singles, Women (Olympic)",,Bronze,Kitty McKane,59,GBR,Tennis,1924,Summer,3.0,False
"Doubles, Mixed (Olympic)",Brian Gilbert,,Kitty McKane,59,GBR,Tennis,1924,Summer,4.0,False
"Doubles, Women (Olympic)",Phyllis Covell,Silver,Kitty McKane,59,GBR,Tennis,1924,Summer,2.0,False
"Singles, Women (Olympic)",,,Winifred McNair,60,GBR,Tennis,1920,Summer,9.0,True
"Doubles, Mixed (Olympic)",Noel Turnbull,,Winifred McNair,60,GBR,Tennis,1920,Summer,14.0,True
"Doubles, Women (Olympic)",Kitty McKane,Gold,Winifred McNair,60,GBR,Tennis,1920,Summer,1.0,False
"Singles, Women (Olympic)",,,Kelly Morgan,61,GBR,Badminton,1996,Summer,9.0,True
"Doubles, Women (Olympic)",Jo Muggeridge,,Kelly Morgan,61,GBR,Badminton,1996,Summer,17.0,True
"Singles, Women (Olympic)",,,Kelly Morgan,61,GBR,Badminton,2000,Summer,9.0,True
"Singles, Women (Olympic)",,,Kelly Morgan,61,GBR,Badminton,2004,Summer,9.0,True
"Singles, Women (Olympic)",,,Agatha Morton,62,GBR,Tennis,1908,Summer,4.0,False
"Singles, Women (Olympic)",,,Jo Muggeridge,63,GBR,Badminton,1992,Summer,9.0,True
"Singles, Women (Olympic)",,,Jo Muggeridge,63,GBR,Badminton,1996,Summer,33.0,True
"Doubles, Mixed (Olympic)",Chris Hunt,,Jo Muggeridge,63,GBR,Badminton,1996,Summer,17.0,True
"Doubles, Women (Olympic)",Kelly Morgan,,Jo Muggeridge,63,GBR,Badminton,1996,Summer,17.0,True
"Doubles, Covered Courts, Mixed (Olympic)",Theodore Mavrogordato,,Mabel Parton,64,GBR,Tennis,1912,Summer,5.0,True
"Singles, Covered Courts, Women (Olympic)",,Bronze,Mabel Parton,64,GBR,Tennis,1912,Summer,3.0,False
"Singles, Covered Courts, Women (Olympic)",,,Violet Pinckney,65,GBR,Tennis,1908,Summer,5.0,True
"Doubles, Women (Olympic)",Gillian Gowers,,Sara Sankey,66,GBR,Badminton,1992,Summer,9.0,True
"Singles, Women (Olympic)",,,Phyllis Satterthwaite,67,GBR,Tennis,1924,Summer,9.0,True
"Singles, Women (Olympic)",,,Dorothy Shepherd-Barron,68,GBR,Tennis,1924,Summer,5.0,True
"Doubles, Women (Olympic)",Evelyn Colyer,Bronze,Dorothy Shepherd-Barron,68,GBR,Tennis,1924,Summer,3.0,False
"Singles, Women (Olympic)",,,Sam Smith,69,GBR,Tennis,1992,Summer,17.0,True
"Doubles, Women (Olympic)",Clare Wood,,Sam Smith,69,GBR,Tennis,1992,Summer,17.0,True
"Singles, Women (Olympic)",,,Helen Troke,70,GBR,Badminton,1992,Summer,17.0,True
"Singles, Women (Olympic)",,Bronze,Ruth Winch,71,GBR,Tennis,1908,Summer,3.0,False
"Singles, Women (Olympic)",,,Clare Wood,72,GBR,Tennis,1988,Summer,33.0,True
"Doubles, Women (Olympic)",Sara Gomer,,Clare Wood,72,GBR,Tennis,1988,Summer,9.0,True
"Doubles, Women (Olympic)",Sam Smith,,Clare Wood,72,GBR,Tennis,1992,Summer,17.0,True
"Singles, Women (Olympic)",,,Clare Wood,72,GBR,Tennis,1996,Summer,33.0,True
"Doubles, Women (Olympic)",Valda Lake,,Clare Wood,72,GBR,Tennis,1996,Summer,5.0,True
"Doubles, Mixed (Olympic)",Nick Ponting,,Joanne Wright,73,GBR,Badminton,1996,Summer,9.0,True
"Doubles, Women (Olympic)",Julie Bradbury,,Joanne Wright,73,GBR,Badminton,1996,Summer,9.0,True
"Doubles, Mixed (Olympic)",Simon Archer,Bronze,Joanne Goode,73,GBR,Badminton,2000,Summer,3.0,False
"Doubles, Women (Olympic)",Donna Kellogg,,Joanne Goode,73,GBR,Badminton,2000,Summer,5.0,True
"Doubles, Men (Olympic)",Desmond Douglas,,Sky Andrew,74,GBR,Table Tennis,1988,Summer,9.0,True
"Doubles, Mixed (Olympic)",Julie Bradbury,,Simon Archer,75,GBR,Badminton,1996,Summer,17.0,True
"Doubles, Men (Olympic)",Chris Hunt,,Simon Archer,75,GBR,Badminton,1996,Summer,5.0,True
"Doubles, Mixed (Olympic)",Joanne Goode,Bronze,Simon Archer,75,GBR,Badminton,2000,Summer,3.0,False
"Doubles, Men (Olympic)",Nathan Robertson,,Simon Archer,75,GBR,Badminton,2000,Summer,5.0,True
"Singles, Men (Olympic)",,,Roper Barrett,76,GBR,Tennis,1908,Summer,,False
"Doubles, Men (Olympic)",Arthur Wentworth Gore,,Roper Barrett,76,GBR,Tennis,1908,Summer,,False
"Singles, Covered Courts, Men (Olympic)",,,Roper Barrett,76,GBR,Tennis,1908,Summer,,False
